행정구역,위도,경도
대정읍,33.226792,126.252193
가파리,33.167812,126.273111
구억리,33.280145,126.276495
동일리,33.239194,126.232167
무릉리,33.272641,126.201535
보성리,33.249782,126.276003
상모리,33.225409,126.25548
신도리,33.286693,126.184585
신평리,33.264669,126.25916
안성리,33.251406,126.281861
영락리,33.258422,126.210784
인성리,33.241009,126.278385
일과리,33.24629,126.223633
하모리,33.224151,126.250284
남원읍,33.278102,126.705303
남원리,33.278102,126.705303
수망리,33.340059,126.701974
신례리,33.284584,126.632134
신흥리,33.303975,126.764583
위미리,33.27421,126.653557
의귀리,33.310324,126.713414
태흥리,33.286352,126.742862
하례리,33.297207,126.608923
한남리,33.311756,126.694605
성산읍,33.441865,126.911041
고성리,33.441865,126.911041
난산리,33.402488,126.874136
삼달리,33.369428,126.868812
성산리,33.462886,126.932822
수산리,33.44732,126.885258
시흥리,33.474134,126.898644
신산리,33.381677,126.875611
신천리,33.354148,126.855018
신풍리,33.364024,126.864778
오조리,33.461469,126.914955
온평리,33.408241,126.896796
안덕면,33.257407,126.330711
감산리,33.259457,126.353946
광평리,33.329575,126.381305
덕수리,33.251774,126.304488
동광리,33.305302,126.338584
사계리,33.233751,126.299714
상창리,33.274547,126.36267
상천리,33.306694,126.380743
서광리,33.288387,126.326335
창천리,33.26359,126.369345
화순리,33.257407,126.330711
표선면,33.32654,126.831666
가시리,33.353053,126.772372
성읍리,33.389933,126.797817
세화리,33.331831,126.798293
토산리,33.312433,126.777708
표선리,33.32654,126.831666
하천리,33.346555,126.841027
송산동,33.245045,126.566065
보목동,33.244937,126.599938
정방동,33.245853,126.565316
중앙동,33.250728,126.565303
천지동,33.247128,126.561441
효돈동,33.264227,126.615673
신효동,33.264227,126.615673
하효동,33.265319,126.620685
영천동,33.268776,126.586713
상효동,33.268776,126.586713
토평동,33.26611,126.589538
동홍동,33.259977,126.568465
서홍동,33.256002,126.560266
대륜동,33.248127,126.511495
법환동,33.237512,126.508708
서호동,33.25386,126.528906
호근동,33.257168,126.527619
대천동,33.250752,126.477623
강정동,33.235003,126.478748
도순동,33.247419,126.477386
월평동,33.246102,126.460887
중문동,33.251442,126.434814
대포동,33.244393,126.432752
하원동,33.253101,126.459425
회수동,33.263891,126.445613
예래동,33.254275,126.397942
상예동,33.254275,126.397942
색달동,33.262024,126.412541
하예동,33.243418,126.386156
귀덕리,33.442419,126.293435
금능리,33.388024,126.227279
금악리,33.356795,126.295886
대림리,33.422179,126.281099
동명리,33.409147,126.2655
명월리,33.386983,126.266688
상대리,33.407798,126.29396
상명리,33.359878,126.271226
수원리,33.425837,126.2703
옹포리,33.405531,126.255914
월령리,33.3759,126.215555
월림리,33.350779,126.25549
한림리,33.410464,126.267138
한수리,33.417854,126.264663
협재리,33.393849,126.238928
고내리,33.463942,126.335518
고성리,33.458394,126.414124
곽지리,33.450143,126.303784
광령리,33.460461,126.439297
구엄리,33.472867,126.375052
금성리,33.440344,126.300447
납읍리,33.435404,126.330457
봉성리,33.424364,126.319021
상가리,33.449694,126.345693
상귀리,33.463227,126.411686
소길리,33.440371,126.37999
수산리,33.471776,126.388751
애월리,33.462009,126.329369
어음리,33.401124,126.336982
신엄리,33.473725,126.36764
유수암리,33.425406,126.402688
장전리,33.450611,126.389176
하가리,33.45561,126.34953
하귀1리,33.481233,126.405049
하귀2리,33.478908,126.403199
김녕리,33.554497,126.746693
덕천리,33.522695,126.758079
동복리,33.552772,126.711746
상도리,33.518612,126.882482
세화리,33.522694,126.858946
송당리,33.471182,126.780942
월정리,33.551732,126.797701
종달리,33.492748,126.897294
평대리,33.529485,126.840635
하도리,33.517553,126.878507
한동리,33.53875,126.828386
행원리,33.541415,126.812379
교래리,33.447517,126.690858
대흘리,33.495026,126.666874
북촌리,33.547997,126.696035
선흘리,33.51241,126.70516
신촌리,33.534231,126.619254
신흥리,33.544522,126.651864
와산리,33.520442,126.691785
와흘리,33.504334,126.636341
조천리,33.535606,126.633666
함덕리,33.541706,126.664788
고산리,33.304283,126.177323
금등리,33.360343,126.19572
낙천리,33.326548,126.227706
두모리,33.353761,126.185471
신창리,33.350103,126.184084
용수리,33.325372,126.168236
저지리,33.326615,126.251416
조수리,33.337296,126.22853
청수리,33.318182,126.247217
판포리,33.362485,126.203182
대서리,33.9587,126.2974
묵리,33.9613,126.3265
신양리,33.9567,126.3308
영흥리,33.954712,126.299935
예초리,33.9482,126.3056
연평리,33.504992,126.953563
일도1동,33.515056,126.526413
일도일동,33.515056,126.526413
일도2동,33.511649,126.538324
일도이동,33.511649,126.538324
도남동,33.493842,126.525913
이도1동,33.508549,126.527351
이도일동,33.508549,126.527351
이도2동,33.496734,126.535288
이도이동,33.496734,126.535288
도남동,33.493842,126.525913
삼도1동,33.503699,126.518289
삼도일동,33.503699,126.518289
삼도2동,33.512315,126.522213
삼도이동,33.512315,126.522213
용담1동,33.509615,126.513939
용담일동,33.509615,126.513939
용담2동,33.51149,126.512927
용담이동,33.51149,126.512927
용담삼동,33.51149,126.512927
건입동,33.51549,126.535513
화북동,33.520256,126.565522
화북일동,33.520256,126.565522
화북이동,33.520256,126.565522
삼양동,33.521815,126.58542
삼양일동,33.521815,126.58542
삼양이동,33.521815,126.58542
삼양삼동,33.521815,126.58542
도련일동,33.5092,126.584595
도련이동,33.514674,126.589995
봉개동,33.491685,126.594832
회천동,33.504792,126.615568
용강동,33.477087,126.585884
아라동,33.476319,126.544987
아라일동,33.476319,126.544987
아라이동,33.476319,126.544987
월평동,33.470104,126.57531
영평동,33.478728,126.567073
오등동,33.468711,126.518177
오라동,33.495125,126.511665
오라일동,33.495125,126.511665
오라이동,33.495125,126.511665
오라삼동,33.495125,126.511665
연동,33.488276,126.496928
노형동,33.482093,126.471343
해안동,33.456795,126.454145
외도동,33.493116,126.432546
외도일동,33.493116,126.432546
외도이동,33.493116,126.432546
내도동,33.495874,126.442708
도평동,33.480767,126.44732
이호동,33.499765,126.458194
이호일동,33.499765,126.458194
이호이동,33.499765,126.458194
도두동,33.502932,126.468381
도두일동,33.502932,126.468381
도두이동,33.502932,126.468381
,,
오름 이름,위도,경도
광이오름,33.468178,126.495042
상여오름,33.465878,126.491867
거문오름,33.497517,126.443806
눈오름,33.459645,126.474531
관절오름,33.457197,126.558524
남조순오름,33.472961,126.498454
개월오름,33.428684,126.618757
삼의양오름,33.439357,126.562199
붉은오름,33.494918,126.59132
시오름,33.306671,126.517131
칡오름,33.28455,126.603286
마중오름,33.334339,126.272364
문도지오름,33.326674,126.295875
사려니오름,33.330521,126.652306
물영아리오름,33.369242,126.693377
쳇망오름,33.371191,126.837889
통오름,33.384218,126.864703
좌보미오름,33.391218,126.852278
부대오름,33.433246,126.856948
당오름,33.463283,126.845848
높은오름,33.458259,126.795691
동거문오름,33.448835,126.80779
백약이오름,33.456611,126.786111
아부오름,33.498843,126.829813
앞오름,33.430031,126.744165
개오름,33.364402,126.709974
민오름,33.47621,126.506378
다랑쉬오름,33.52249,126.861798
흙붉은오름,33.380372,126.560825
사라오름,33.369898,126.570612
판포오름,33.358527,126.214243
어도오름,33.421163,126.308971
샛별오름,33.365313,126.357218
금오름,33.361528,126.315028
정물오름,33.384275,126.316828
당오름,33.383184,126.347528
원이오름,33.310655,126.344406
군산오름,33.266102,126.368638
영아리오름,33.330092,126.400428
돌오름,33.326482,126.322197
궷물오름,33.398317,126.404201
작은노꼬메오름,33.393285,126.41775
큰노꼬메오름,33.389219,126.411563
물찻오름,33.395522,126.653117
붉은오름,33.40073,126.67869
구두리오름,33.410862,126.687901
이승이오름,33.339861,126.622258
가문이오름,33.404363,126.686339
물영아리오름,33.369242,126.693377
돔박이오름,33.339423,126.364168
원물오름,33.325758,126.343046
거문오름,33.461942,126.702742
바우오름,33.426577,126.708892
부소오름,33.431289,126.713181
부대오름,33.433438,126.715368
절물오름,33.454207,126.632207
민오름,33.454316,126.638531
큰지그리오름,33.435777,126.651714
족은지그리오름,33.438519,126.654314
노루오름,33.436327,126.660144
견월악(개월오름),33.428684,126.618757
큰대나오름,33.413153,126.666874
족은대나오름,33.414028,126.662707
말찻오름,33.409395,126.650868
어후오름,33.391821,126.594585
사라오름,33.374648,126.569122
성널오름,33.375306,126.592648
어승생오름,33.401944,126.495028
바리메오름,33.407944,126.398604
족은바리메오름,33.407153,126.393436
노꼬메오름,33.389219,126.411563
괴오름,33.372554,126.438257
북돌아진오름,33.340455,126.442994
삼형제오름(셋오름),33.338221,126.37688
정월오름,33.385344,126.291778
문도지오름,33.326674,126.295875
검은오름,33.355429,126.306411
당오름,33.299951,126.195009
수월봉(물봉),33.298517,126.168341
이계오름,33.310625,126.269989
저지오름,33.363914,126.262498
가메창오름,33.32689,126.253791
마흐니오름,33.334339,126.272364
남송악오름,33.314642,126.304149
원물오름,33.325758,126.343046
대병악(큰오름),33.306627,126.370444
소병악(족은오름),33.306627,126.370444
신산오름,33.267431,126.359708
영실오름,33.347899,126.487845
개오름,33.255584,126.463872
활오름,33.264975,126.482385
영천오름,33.294907,126.601811
서리오름,33.255811,126.604762
자배봉(자배오름),33.30354,126.673567
물영아리오름,33.369592,126.683167
따라비오름,33.360124,126.832899
매오름,33.320208,126.812442
가세오름,33.330739,126.781795
모구리알오름,33.408031,126.827102
안친오름,33.478623,126.785666
말젯오름(과오름),33.447494,126.317108
웃선족이오름,33.442176,126.748558
알선족이오름,33.482306,126.782591
감은이오름,33.482723,126.791128
골체오름,33.450483,126.705224
당산봉알오름,33.310565,126.176723
소머리오름,33.491924,126.965363
돈두미오름,33.251456,126.206921
걸서악(동걸세)오름,33.2841,126.618023
이달오름,33.362973,126.527191
가문이오름,33.404363,126.686339
물영아리오름,33.369242,126.693377
사려니오름,33.330521,126.652306
바굼지오름,33.245516,126.289464
샛별오름,33.365313,126.357218
족은오름,33.402432,126.29791
당오름,33.342464,126.230758
정물오름,33.384275,126.316828
괴오름,33.372554,126.438257
북돌아진오름,33.340455,126.442994
삼형제오름,33.338221,126.37688
정월오름,33.385344,126.291778
문도지오름,33.326674,126.295875
검은오름,33.355429,126.306411
당오름,33.299951,126.195009
수월봉(물오름),33.298517,126.168341
이계오름,33.310625,126.269989
저지오름,33.363914,126.262498
가메창오름,33.32689,126.253791
마흐니오름,33.334339,126.272364
남송악오름,33.314642,126.304149
원물오름,33.325758,126.343046
대병악(큰오름),33.306627,126.370444
소병악(족은오름),33.306627,126.370444
신산오름,33.267431,126.359708
영실오름,33.347899,126.487845
개오름,33.255584,126.463872
활오름,33.264975,126.482385
영천오름,33.294907,126.601811
서리오름,33.255811,126.604762
자배봉(자배오름),33.30354,126.673567
따라비오름,33.360124,126.832899
매오름,33.320208,126.812442
가세오름,33.330739,126.781795
모구리알오름,33.408031,126.827102
안친오름,33.478623,126.785666
웃선족이오름,33.442176,126.748558
알선족이오름,33.482306,126.782591
감은이오름,33.482723,126.791128
골체오름,33.450483,126.705224
당산봉알오름,33.310565,126.176723
돈두미오름,33.251456,126.206921
걸서악(동걸세)오름,33.2841,126.618023
이달오름,33.362973,126.527191
바굼지오름,33.245516,126.289464
궷물오름,33.398317,126.404201
말젯오름(과오름),33.447494,126.317108
다랑쉬오름,33.52249,126.861798
아부오름,33.498843,126.829813
백약이오름,33.456611,126.786111
동거문오름,33.448835,126.80779
높은오름,33.458259,126.795691
문도지오름,33.326674,126.295875
당오름,33.299951,126.195009
정물오름,33.384275,126.316828
돔박이오름,33.339423,126.364168
원물오름,33.325758,126.343046
신산오름,33.267431,126.359708
활오름,33.264975,126.482385
서리오름,33.255811,126.604762
자배봉(자배오름),33.30354,126.673567
따라비오름,33.360124,126.832899
안친오름,33.478623,126.785666
감은이오름,33.482723,126.791128
이달오름,33.362973,126.527191
어승생오름,33.401944,126.495028
절물오름,33.454207,126.632207
샛별오름,33.365313,126.357218
바리메오름,33.407944,126.398604
금오름,33.361528,126.315028
군산오름,33.266102,126.368638
물영아리오름,33.369242,126.693377
사라오름,33.369898,126.570612
거문오름,33.461942,126.702742
저지오름,33.363914,126.262498
말젯오름,33.447494,126.317108
모구리알오름,33.408031,126.827102
웃선족이오름,33.442176,126.748558
알선족이오름,33.482306,126.782591
골체오름,33.450483,126.705224
당산봉알오름,33.310565,126.176723
소머리오름,33.491924,126.965363
걸서악(동걸세)오름,33.2841,126.618023
가문이오름,33.404363,126.686339
바굼지오름,33.245516,126.289464
궷물오름,33.398317,126.404201
족은오름,33.402432,126.29791
당오름,33.342464,126.230758
괴오름,33.372554,126.438257
북돌아진오름,33.340455,126.442994
삼형제오름,33.338221,126.37688
정월오름,33.385344,126.291778
개오름,33.255584,126.463872
영천오름,33.294907,126.601811
매오름,33.320208,126.812442
가세오름,33.330739,126.781795
소록산(소로기오름),33.406305,126.720786
새별오름,33.367661,126.35644
,,
관광지명,위도,경도
한라산 국립공원,33.361528,126.531208
성산일출봉,33.458311,126.942442
섭지코지,33.424343,126.931102
만장굴,33.529123,126.771813
우도,33.516086,126.953049
추자도,33.9634,126.3113
국립제주박물관,33.511543,126.549226
성읍민속마을,33.385731,126.808034
아쿠아플라넷 제주,33.432822,126.927233
함덕해수욕장,33.543419,126.670555
에코랜드 테마파크,33.44747,126.689849
제주 동문시장,33.512628,126.529226
애월 한담공원,33.463234,126.312134
카멜리아힐,33.284241,126.368305
제주절물자연휴양림,33.454207,126.632207
비자림,33.4929,126.8093
정방폭포,33.244907,126.570711
돌문화공원,33.423497,126.675095
산방산,33.24285,126.31525
산방산탄산온천,33.247811,126.310614
쇠소깍,33.255262,126.633114
넥슨 컴퓨터박물관,33.473943,126.486241
김녕미로공원,33.551322,126.760022
천지연폭포,33.246942,126.554378
용머리해안,33.231308,126.314643
본태박물관,33.268305,126.31821
광치기 해변,33.447543,126.932975
여미지 식물원,33.250527,126.415053
동백수목원,33.275357,126.677974
휴애리,33.30899,126.633788
9.81 파크,33.391142,126.366464
스누피 가든,33.444349,126.778295
아르떼뮤지엄,33.397377,126.345722
헬로키티아일랜드,33.290187,126.351933
제주워터월드,33.246185,126.509324
서귀포매일올레시장,33.250497,126.564414
제주민속촌,33.319706,126.839795
제주항공우주박물관,33.30154,126.294116
한림공원,33.391628,126.240726
오설록 티뮤지엄,33.305943,126.289714
곽지과물해변,33.450143,126.303784
협재해수욕장,33.393849,126.238928
함덕서우봉해변,33.543419,126.670555
하모해수욕장,33.210536,126.26243
금능으뜸원해변,33.389682,126.235091
중문해수욕장,33.246308,126.412495
홍조단괴해빈해수욕장,33.501323,126.943902
하고수동해수욕장,33.513205,126.958275
삼양검은모래해변,33.524656,126.586807
이호해수욕장,33.497517,126.453319
월정리해변,33.556428,126.79579
제주바다목장,33.443136,126.28651
제주바다사우나,33.242202,126.418703
바다이야기,33.516006,126.516426
바다풍경,33.46476,126.935841
바다사랑공원직판장,33.391541,126.237716
바다사랑,33.394649,126.241528
바다회집,33.402906,126.252127
중문색달해변,33.244726,126.414491
하도해수욕장,33.513538,126.898893
신양해수욕장,33.435772,126.917993
표선해비치해변,33.325491,126.842965
